Protein_ID,Sequence_Length,Molecular_Weight_kDa,Isoelectric_Point,Hydrophobicity,Secondary_Structure,Buffer_Type,Precipitant_Type,Precipitant_Concentration_%,pH,Temperature_C,Crystallization_Method,Crystallized
P00042,525,50.35,8.77,0.07,Beta,Phosphate,PEG 3350,11.98,7.6,37,Vapor diffusion,0
P00043,749,124.89,6.88,-0.3,Beta,Citrate,Ethanol,32.33,6.7,25,Hanging-drop,0
P00044,832,91.27,7.22,-0.647,Alpha,Phosphate,PEG 3350,9.12,4.2,4,Sitting-drop,0
P00045,239,120.11,7.27,0.11,Beta,Tris,Ethanol,20.04,6.8,25,Microbatch,1
P00046,736,148.45,5.72,-0.903,Alpha,Tris,Ammonium sulfate,12.4,5.4,25,Vapor diffusion,0
P00047,612,103.48,5.5,-0.927,Alpha,Phosphate,PEG 3350,24.24,4.8,4,Sitting-drop,0
P00048,925,147.82,4.03,-0.871,Alpha,Phosphate,Ethanol,35.13,4.0,37,Free interface diffusion,0
P00049,616,9.18,6.38,0.345,Beta,Phosphate,PEG 3350,36.18,9.4,25,Free interface diffusion,0
P00050,293,54.03,6.91,-0.186,Beta,HEPES,Ethanol,23.57,9.2,37,Hanging-drop,0
P00051,881,20.64,8.46,-0.012,Mixed,Phosphate,Ammonium sulfate,13.46,8.5,20,Free interface diffusion,0
P00052,554,43.03,4.4,-0.313,Mixed,Tris,MPD,18.42,5.2,4,Dialysis,1
P00053,180,126.64,9.54,-0.493,Mixed,Phosphate,MPD,29.11,8.8,20,Hanging-drop,0
P00054,534,9.69,5.58,-0.283,Alpha,HEPES,Ammonium sulfate,15.07,8.9,25,Free interface diffusion,0
P00055,868,80.43,6.2,-0.613,Mixed,Citrate,Ammonium sulfate,10.37,4.4,20,Microbatch,0
P00056,696,87.23,4.29,0.358,Beta,HEPES,MPD,14.74,6.9,37,Microbatch,0
P00057,70,86.37,7.92,-0.797,Alpha,HEPES,PEG 3350,9.25,4.6,4,Vapor diffusion,0
P00058,890,73.92,8.25,0.034,Alpha,Tris,Ammonium sulfate,14.68,6.9,4,Dialysis,1
P00059,216,119.64,9.57,-0.046,Beta,Phosphate,MPD,6.52,8.6,4,Hanging-drop,0
P00060,323,24.36,6.02,-0.396,Mixed,Tris,MPD,7.18,7.4,4,Dialysis,1
P00061,437,50.03,5.54,-0.795,Mixed,HEPES,MPD,35.05,4.3,25,Free interface diffusion,0
P00062,650,94.28,8.36,0.407,Beta,HEPES,PEG 3350,11.24,4.1,37,Vapor diffusion,0
P00063,365,105.19,8.24,0.139,Beta,Phosphate,PEG 3350,34.53,4.5,25,Sitting-drop,0
P00064,63,63.6,9.62,0.619,Mixed,Citrate,Ammonium sulfate,39.86,9.0,4,Free interface diffusion,0
P00065,291,131.93,5.23,-0.529,Beta,Tris,PEG 3350,18.67,9.4,37,Batch under oil,0
P00066,826,65.25,8.23,0.583,Mixed,Citrate,PEG 3350,20.67,6.7,25,Batch under oil,1
P00067,395,63.4,4.4,-0.416,Beta,HEPES,PEG 3350,15.01,6.0,20,Sitting-drop,1
P00068,614,10.25,6.88,-0.775,Mixed,Citrate,PEG 3350,9.17,5.9,37,Vapor diffusion,0
P00069,947,84.92,4.72,-0.73,Beta,Tris,Ammonium sulfate,27.29,6.3,37,Dialysis,1
P00070,389,107.76,7.92,-0.558,Alpha,HEPES,PEG 3350,34.68,6.2,20,Free interface diffusion,0
P00071,141,21.59,7.61,0.365,Alpha,HEPES,Ammonium sulfate,28.43,8.2,4,Hanging-drop,0
P00072,416,49.29,4.29,-0.512,Alpha,Citrate,Ammonium sulfate,8.83,6.9,20,Dialysis,0
P00073,504,118.28,5.92,0.208,Beta,Phosphate,PEG 3350,26.23,4.5,37,Sitting-drop,0
P00074,477,58.06,6.37,-0.487,Mixed,Phosphate,PEG 3350,27.37,4.5,20,Counter-diffusion,0
P00075,558,40.03,5.49,-0.27,Mixed,Tris,Ammonium sulfate,29.14,4.6,20,Sitting-drop,1
P00076,825,102.47,4.23,0.779,Mixed,Phosphate,Ammonium sulfate,7.43,6.1,4,Sitting-drop,1
P00077,992,33.53,5.91,0.001,Alpha,HEPES,Ammonium sulfate,29.43,5.5,20,Microbatch,0
P00078,84,134.87,8.76,0.201,Alpha,HEPES,MPD,26.16,6.0,4,Microbatch,1
P00079,255,20.31,6.16,-0.621,Mixed,Citrate,PEG 3350,35.38,4.5,37,Batch under oil,0
P00080,130,107.45,5.94,-0.737,Beta,HEPES,MPD,10.78,9.0,25,Dialysis,0
P00081,981,77.43,9.65,-0.174,Beta,HEPES,MPD,7.17,8.6,20,Sitting-drop,0
P00082,611,131.14,4.25,0.711,Mixed,Tris,PEG 3350,33.45,7.1,20,Sitting-drop,1
P00083,921,23.3,8.6,-0.518,Mixed,Phosphate,Ethanol,8.6,7.1,37,Microbatch,0
P00084,437,103.29,6.9,0.243,Beta,Phosphate,MPD,18.3,6.8,37,Free interface diffusion,0
P00085,51,87.95,9.67,0.744,Mixed,Phosphate,PEG 3350,35.41,5.3,25,Vapor diffusion,0
P00086,439,74.61,6.36,0.869,Beta,Tris,MPD,14.74,7.6,25,Sitting-drop,1
P00087,615,76.25,8.25,0.988,Beta,Phosphate,PEG 3350,20.46,4.5,4,Batch under oil,0
P00088,155,109.69,4.42,0.526,Alpha,Citrate,Ammonium sulfate,26.5,7.2,20,Free interface diffusion,0
P00089,821,140.97,9.57,-0.85,Alpha,Phosphate,MPD,27.37,6.4,37,Sitting-drop,1
P00090,871,18.23,6.07,0.743,Alpha,HEPES,MPD,25.79,4.3,25,Hanging-drop,0
P00091,526,7.83,7.14,0.771,Mixed,Tris,MPD,7.12,6.4,20,Free interface diffusion,1
P00092,752,121.83,4.83,0.115,Beta,Citrate,PEG 3350,32.24,7.3,25,Vapor diffusion,0
P00093,451,20.68,9.67,-0.865,Mixed,Tris,Ethanol,32.82,4.4,20,Microbatch,0
P00094,779,148.07,8.04,-0.047,Mixed,Citrate,Ammonium sulfate,8.65,5.6,37,Hanging-drop,0
P00095,605,94.81,4.32,-0.579,Mixed,Citrate,Ethanol,30.89,5.1,25,Free interface diffusion,0
P00096,211,99.38,4.93,-0.116,Beta,HEPES,MPD,22.64,4.1,25,Hanging-drop,0
P00097,251,33.84,6.4,0.448,Alpha,Phosphate,PEG 3350,5.44,4.4,25,Batch under oil,0
P00098,319,39.85,5.3,0.335,Beta,Phosphate,MPD,29.3,5.0,25,Microbatch,0
P00099,912,100.61,5.83,0.56,Beta,Citrate,MPD,21.13,7.3,20,Vapor diffusion,1
P00100,865,136.91,9.98,-0.047,Mixed,Citrate,Ethanol,9.43,9.2,25,Microbatch,0
P00101,320,147.45,7.95,0.022,Mixed,Phosphate,MPD,11.15,7.6,20,Counter-diffusion,0
P00102,505,33.71,9.53,0.871,Alpha,Tris,PEG 3350,31.52,9.4,20,Hanging-drop,0
P00103,511,24.45,6.61,0.262,Beta,Citrate,Ammonium sulfate,38.08,9.3,25,Hanging-drop,0
P00104,776,13.18,8.26,0.495,Alpha,Citrate,Ethanol,10.74,6.9,25,Microbatch,0
P00105,301,130.9,6.76,0.329,Mixed,Tris,PEG 3350,19.08,5.2,25,Hanging-drop,1
P00106,751,47.73,5.97,0.281,Mixed,Tris,MPD,16.19,9.0,37,Sitting-drop,1
P00107,345,5.26,7.12,0.827,Alpha,Phosphate,Ammonium sulfate,25.54,6.9,20,Counter-diffusion,0
P00108,774,37.45,6.56,-0.287,Alpha,Phosphate,Ammonium sulfate,11.83,4.8,20,Counter-diffusion,0
P00109,769,54.36,9.88,-0.145,Beta,Tris,Ammonium sulfate,25.27,6.1,25,Vapor diffusion,1
P00110,798,148.69,6.98,-0.24,Alpha,Tris,PEG 3350,34.09,5.8,4,Batch under oil,0
P00111,387,80.91,8.87,0.53,Alpha,HEPES,Ammonium sulfate,27.44,6.0,37,Vapor diffusion,1
P00112,928,34.68,8.0,0.737,Beta,HEPES,PEG 3350,11.8,4.5,20,Dialysis,0
P00113,102,53.55,6.88,-0.285,Mixed,Phosphate,Ethanol,31.21,6.5,37,Free interface diffusion,0
P00114,841,52.89,6.84,-0.715,Beta,Citrate,PEG 3350,21.11,6.9,37,Microbatch,0
P00115,971,7.86,6.05,-0.012,Mixed,Tris,MPD,8.95,8.8,37,Vapor diffusion,1
P00116,266,24.6,4.64,0.969,Mixed,Phosphate,PEG 3350,16.45,4.4,20,Counter-diffusion,0
P00117,813,105.8,8.57,-0.593,Alpha,HEPES,PEG 3350,13.45,8.5,25,Dialysis,0
P00118,237,22.44,9.51,-0.096,Alpha,Citrate,MPD,34.52,7.5,4,Counter-diffusion,0
P00119,429,38.46,5.31,-0.457,Alpha,HEPES,Ethanol,12.94,9.3,25,Vapor diffusion,0
P00120,542,55.86,9.55,0.845,Alpha,HEPES,PEG 3350,22.92,8.6,4,Sitting-drop,1
P00121,90,114.87,5.39,0.102,Alpha,HEPES,MPD,27.83,6.5,20,Batch under oil,1
P00122,206,89.45,7.18,0.157,Mixed,Citrate,MPD,6.97,8.3,4,Microbatch,0
P00123,64,104.9,6.06,-0.983,Beta,HEPES,Ethanol,9.93,9.1,25,Dialysis,0
P00124,862,87.22,4.69,0.306,Alpha,Phosphate,Ethanol,32.55,6.7,20,Dialysis,0
P00125,114,104.12,4.32,-0.387,Mixed,Citrate,MPD,17.04,5.5,25,Sitting-drop,1
P00126,906,5.41,6.19,0.027,Alpha,Tris,Ethanol,29.57,6.2,37,Vapor diffusion,1
P00127,888,139.98,4.28,0.062,Beta,Tris,MPD,31.57,6.3,37,Vapor diffusion,1
P00128,570,21.08,4.63,0.184,Mixed,Tris,Ethanol,27.49,7.3,25,Free interface diffusion,1
P00129,393,63.91,4.85,0.647,Beta,Tris,MPD,25.36,6.3,25,Vapor diffusion,1
P00130,178,116.8,4.01,-0.402,Alpha,HEPES,Ammonium sulfate,22.33,7.3,37,Hanging-drop,1
P00131,697,68.11,4.92,-0.488,Mixed,HEPES,Ethanol,18.75,4.2,4,Hanging-drop,1
P00132,521,142.29,7.46,0.592,Beta,Tris,Ammonium sulfate,10.23,6.1,25,Counter-diffusion,0
P00133,112,72.8,8.92,0.437,Alpha,Citrate,MPD,39.05,7.7,37,Vapor diffusion,0
P00134,188,131.87,5.16,-0.549,Alpha,HEPES,Ethanol,27.47,4.6,4,Microbatch,0
P00135,548,122.57,4.49,-0.998,Mixed,HEPES,Ethanol,11.8,5.2,20,Microbatch,0
P00136,642,147.24,8.38,0.332,Alpha,Citrate,Ammonium sulfate,34.28,8.0,4,Free interface diffusion,0
P00137,441,139.35,4.05,-0.686,Beta,Citrate,Ammonium sulfate,33.79,7.6,37,Sitting-drop,0
P00138,724,135.23,8.4,0.914,Alpha,Phosphate,PEG 3350,31.35,5.9,25,Hanging-drop,0
P00139,468,111.08,4.79,0.209,Beta,Citrate,Ammonium sulfate,9.05,9.5,20,Batch under oil,0
P00140,338,58.21,5.37,0.699,Beta,Tris,MPD,5.63,5.7,25,Batch under oil,0
P00141,428,20.39,4.72,0.611,Beta,Tris,MPD,29.79,5.4,20,Counter-diffusion,0
P00142,822,104.85,5.48,0.116,Beta,Citrate,Ammonium sulfate,12.16,5.9,20,Batch under oil,0
P00143,539,146.9,8.79,-0.123,Mixed,Phosphate,Ammonium sulfate,34.43,8.1,4,Batch under oil,0
P00144,280,110.36,4.8,-0.006,Beta,Phosphate,MPD,28.55,4.5,25,Counter-diffusion,0
P00145,90,139.67,9.96,0.606,Mixed,Tris,PEG 3350,18.1,5.6,37,Batch under oil,1
P00146,77,121.62,5.96,0.281,Mixed,Tris,PEG 3350,22.06,7.3,20,Counter-diffusion,1
P00147,184,28.65,9.53,-0.589,Mixed,Citrate,Ethanol,22.6,8.8,25,Hanging-drop,0
P00148,250,41.13,5.14,0.219,Alpha,HEPES,MPD,18.26,6.4,4,Vapor diffusion,1
P00149,889,54.57,5.13,-0.191,Beta,Phosphate,Ethanol,11.28,6.1,4,Hanging-drop,0
P00150,829,29.4,7.39,-0.877,Alpha,Tris,PEG 3350,39.8,5.9,25,Sitting-drop,0
P00151,979,89.34,4.3,-0.237,Beta,Citrate,Ammonium sulfate,31.22,4.3,20,Dialysis,0
P00152,82,146.44,8.81,-0.545,Mixed,Citrate,PEG 3350,10.47,9.2,4,Vapor diffusion,0
P00153,97,115.41,6.64,0.677,Alpha,Citrate,PEG 3350,6.21,4.2,4,Batch under oil,0
P00154,552,66.39,8.2,-0.79,Alpha,Phosphate,PEG 3350,17.05,7.1,37,Batch under oil,0
P00155,456,5.65,5.05,-0.279,Mixed,HEPES,PEG 3350,24.41,8.4,20,Sitting-drop,1
P00156,623,50.43,7.85,0.391,Mixed,Citrate,MPD,37.83,8.7,37,Batch under oil,0
P00157,777,81.38,7.56,0.795,Mixed,Citrate,MPD,9.63,5.0,20,Counter-diffusion,0
P00158,854,52.02,8.53,-0.329,Alpha,HEPES,MPD,20.41,4.2,4,Microbatch,0
P00159,148,21.1,5.78,0.213,Mixed,Citrate,PEG 3350,11.25,8.2,4,Sitting-drop,0
P00160,733,69.2,9.6,-0.253,Alpha,Tris,Ethanol,7.44,4.3,37,Hanging-drop,0
P00161,921,41.72,9.77,-0.594,Beta,Phosphate,Ammonium sulfate,26.05,6.4,20,Counter-diffusion,0
P00162,775,136.84,9.21,-0.349,Mixed,HEPES,Ethanol,8.63,6.0,4,Vapor diffusion,1
P00163,596,19.75,7.43,0.272,Alpha,HEPES,MPD,30.21,4.7,25,Batch under oil,0
P00164,788,12.13,6.52,0.433,Mixed,Phosphate,MPD,24.37,6.9,4,Sitting-drop,1
P00165,662,5.77,4.35,-0.259,Mixed,Citrate,MPD,13.14,4.8,37,Hanging-drop,0
P00166,992,52.57,9.68,-0.695,Alpha,Phosphate,Ethanol,32.81,7.7,25,Hanging-drop,0
P00167,511,100.76,9.71,-0.721,Alpha,Tris,MPD,29.49,8.4,20,Dialysis,1
P00168,692,110.91,4.11,0.625,Alpha,HEPES,MPD,26.92,5.3,25,Hanging-drop,0
P00169,818,70.72,6.14,0.307,Mixed,Citrate,PEG 3350,12.48,8.1,20,Free interface diffusion,0
P00170,54,104.23,9.28,0.456,Beta,Citrate,MPD,29.73,7.6,20,Vapor diffusion,1
P00171,267,57.19,4.49,-0.023,Beta,Phosphate,MPD,23.92,5.5,25,Free interface diffusion,0
P00172,552,101.83,5.18,-0.085,Mixed,HEPES,Ethanol,23.7,5.1,37,Batch under oil,1
P00173,816,10.89,9.87,-0.578,Mixed,Phosphate,Ammonium sulfate,9.18,8.8,20,Sitting-drop,0
P00174,447,61.66,9.08,-0.663,Alpha,HEPES,MPD,9.73,5.1,37,Hanging-drop,0
P00175,920,119.67,9.47,-0.692,Beta,Phosphate,Ammonium sulfate,6.13,4.4,25,Batch under oil,0
P00176,844,121.44,4.85,0.984,Beta,Citrate,Ammonium sulfate,13.59,5.7,25,Microbatch,0
P00177,442,108.84,5.27,0.642,Beta,Phosphate,MPD,22.27,9.0,4,Free interface diffusion,0
P00178,256,34.61,7.63,0.252,Alpha,HEPES,PEG 3350,17.56,7.2,4,Counter-diffusion,1
P00179,64,40.84,7.01,-0.571,Beta,Tris,MPD,29.95,8.0,25,Free interface diffusion,1
P00180,907,149.43,5.79,-0.325,Alpha,Phosphate,Ethanol,19.26,5.2,25,Hanging-drop,0
P00181,603,19.99,9.3,-0.298,Mixed,Tris,MPD,8.26,6.7,25,Free interface diffusion,1
P00182,941,31.2,9.41,-0.045,Alpha,Citrate,PEG 3350,30.36,8.4,4,Dialysis,0
P00183,510,23.85,5.75,-0.156,Mixed,Phosphate,MPD,11.45,6.0,37,Microbatch,0
P00184,740,52.51,4.93,0.868,Beta,Tris,Ethanol,16.03,7.9,37,Microbatch,1
P00185,624,35.48,4.89,0.442,Mixed,Phosphate,Ethanol,22.52,7.2,37,Hanging-drop,1
P00186,913,77.16,6.91,-0.837,Mixed,Phosphate,Ammonium sulfate,24.4,5.8,4,Vapor diffusion,1
P00187,792,74.02,4.8,-0.28,Mixed,Citrate,Ethanol,15.32,6.3,20,Batch under oil,1
P00188,290,135.72,6.84,-0.734,Alpha,HEPES,Ammonium sulfate,21.12,8.0,20,Vapor diffusion,1
P00189,613,10.04,6.77,-0.441,Alpha,HEPES,PEG 3350,7.33,8.1,37,Batch under oil,0
P00190,145,51.38,9.3,0.918,Alpha,Phosphate,Ethanol,10.6,8.9,37,Dialysis,0
P00191,949,91.52,5.78,0.411,Mixed,Citrate,Ethanol,25.97,7.0,25,Hanging-drop,1
P00192,783,92.7,7.36,-0.984,Mixed,Phosphate,Ammonium sulfate,5.16,6.4,4,Free interface diffusion,0
P00193,534,74.62,8.46,-0.342,Mixed,Citrate,Ethanol,11.44,8.3,20,Counter-diffusion,0
P00194,456,123.27,7.58,-0.123,Beta,HEPES,MPD,26.99,6.1,37,Batch under oil,1
P00195,280,14.09,9.72,0.205,Alpha,Citrate,Ammonium sulfate,13.13,7.3,25,Hanging-drop,0
P00196,798,123.25,7.61,-0.001,Beta,Phosphate,PEG 3350,33.63,8.2,37,Dialysis,0
P00197,704,76.74,9.41,-0.86,Beta,Tris,Ethanol,18.74,9.1,37,Free interface diffusion,0
P00198,220,24.4,5.47,0.031,Beta,Tris,PEG 3350,30.0,8.9,20,Free interface diffusion,0
P00199,590,133.43,7.36,-0.739,Mixed,Phosphate,PEG 3350,35.98,7.6,25,Microbatch,0
P00200,85,99.14,7.26,0.038,Alpha,Tris,MPD,20.69,4.1,25,Dialysis,1
P00201,574,28.71,9.94,-0.508,Beta,Phosphate,Ammonium sulfate,28.63,8.1,37,Free interface diffusion,0
P00202,209,9.88,5.23,-0.712,Alpha,Phosphate,Ammonium sulfate,34.52,5.8,4,Free interface diffusion,0
P00203,888,25.46,4.85,-0.424,Alpha,HEPES,Ethanol,13.62,8.6,37,Free interface diffusion,0
P00204,748,93.28,7.67,-0.801,Mixed,HEPES,PEG 3350,35.98,4.1,4,Dialysis,1
P00205,292,31.0,5.34,-0.432,Beta,HEPES,Ammonium sulfate,35.11,4.6,20,Dialysis,0
P00206,135,37.74,7.83,0.734,Mixed,Phosphate,Ethanol,7.12,7.8,20,Batch under oil,0
P00207,845,8.65,9.83,-0.386,Alpha,Citrate,MPD,21.49,5.5,4,Batch under oil,0
P00208,627,109.82,9.68,-0.06,Beta,Phosphate,PEG 3350,8.89,5.7,20,Counter-diffusion,0
P00209,731,122.5,5.39,0.04,Alpha,HEPES,MPD,36.02,6.2,20,Counter-diffusion,0
P00210,606,120.54,5.03,-0.643,Alpha,HEPES,Ethanol,13.39,5.0,37,Hanging-drop,0
P00211,623,23.5,7.36,-0.116,Mixed,Tris,PEG 3350,17.98,8.7,4,Counter-diffusion,1
P00212,695,135.98,7.52,0.706,Beta,HEPES,MPD,37.83,4.5,4,Free interface diffusion,0
P00213,845,102.48,7.97,-0.839,Mixed,Citrate,PEG 3350,24.67,4.9,4,Microbatch,0
P00214,77,135.14,8.45,0.846,Mixed,Phosphate,Ethanol,37.45,6.1,25,Sitting-drop,1
P00215,669,69.84,7.61,0.742,Alpha,Citrate,PEG 3350,21.16,6.1,4,Dialysis,1
P00216,605,68.36,4.67,0.712,Beta,Phosphate,MPD,39.4,4.3,25,Microbatch,0
P00217,389,118.76,8.74,-0.603,Beta,Tris,Ammonium sulfate,38.43,5.9,37,Microbatch,0
P00218,847,18.53,4.48,-0.031,Beta,Tris,Ethanol,5.7,8.2,4,Vapor diffusion,0
P00219,380,80.53,4.12,0.232,Mixed,Citrate,PEG 3350,19.22,8.9,4,Vapor diffusion,1
P00220,689,126.28,8.62,-0.8,Mixed,Tris,PEG 3350,38.25,4.7,20,Sitting-drop,1
P00221,555,125.38,7.29,0.114,Mixed,Phosphate,PEG 3350,33.5,7.6,25,Dialysis,1
P00222,397,143.64,8.19,0.68,Alpha,Tris,PEG 3350,12.42,9.1,4,Dialysis,0
P00223,522,106.25,6.3,0.873,Mixed,Phosphate,PEG 3350,35.97,5.6,37,Vapor diffusion,0
P00224,280,35.13,4.07,-0.443,Beta,Phosphate,MPD,12.06,8.8,20,Hanging-drop,0
P00225,239,7.94,5.99,-0.423,Alpha,Citrate,MPD,37.77,4.9,37,Batch under oil,0
P00226,274,74.52,7.65,-0.459,Beta,Phosphate,Ethanol,7.91,8.7,20,Counter-diffusion,0
P00227,434,79.49,5.35,-0.693,Mixed,Tris,Ethanol,38.12,6.3,37,Dialysis,1
P00228,426,39.84,8.13,-0.139,Beta,Citrate,MPD,7.88,8.5,20,Batch under oil,0
P00229,332,23.08,8.77,0.569,Alpha,Phosphate,Ammonium sulfate,12.98,5.2,37,Vapor diffusion,0
P00230,682,90.0,6.73,0.424,Mixed,Phosphate,MPD,24.82,4.4,37,Microbatch,0
P00231,677,115.82,9.25,0.801,Alpha,Phosphate,Ammonium sulfate,11.58,7.3,37,Hanging-drop,0
P00232,794,149.01,9.13,-0.289,Mixed,Citrate,MPD,18.62,5.5,25,Free interface diffusion,0
P00233,308,114.95,9.27,0.144,Alpha,Phosphate,Ethanol,10.91,8.4,25,Vapor diffusion,0
P00234,408,120.08,7.97,0.533,Alpha,Citrate,Ethanol,24.52,8.5,25,Dialysis,0
P00235,759,94.39,5.83,0.796,Beta,Tris,PEG 3350,26.38,8.0,20,Hanging-drop,1
P00236,505,147.96,6.89,0.744,Mixed,Citrate,Ammonium sulfate,12.72,6.7,4,Sitting-drop,1
P00237,460,97.79,8.26,-0.069,Mixed,HEPES,Ammonium sulfate,15.2,9.1,20,Free interface diffusion,1
P00238,698,129.74,5.26,0.814,Mixed,HEPES,Ammonium sulfate,30.83,7.2,25,Sitting-drop,1
P00239,367,142.14,8.43,-0.112,Alpha,Phosphate,PEG 3350,8.03,5.0,25,Sitting-drop,0
P00240,726,139.83,7.29,0.806,Beta,Phosphate,Ammonium sulfate,20.85,7.2,4,Counter-diffusion,0
P00241,274,60.31,4.58,0.554,Beta,HEPES,PEG 3350,15.15,7.2,37,Batch under oil,1
P00242,868,16.41,7.34,-0.557,Mixed,Tris,PEG 3350,19.43,7.5,20,Batch under oil,1
P00243,283,29.92,4.4,0.859,Mixed,Citrate,PEG 3350,34.24,4.5,4,Batch under oil,0
P00244,733,13.59,4.09,-0.515,Alpha,HEPES,PEG 3350,39.27,7.8,20,Counter-diffusion,0
P00245,713,20.28,9.34,0.817,Alpha,Citrate,MPD,11.31,6.2,25,Microbatch,0
P00246,876,31.77,6.94,0.23,Alpha,Tris,Ethanol,7.14,7.4,20,Vapor diffusion,1
P00247,423,54.46,7.26,0.335,Beta,Tris,Ammonium sulfate,11.89,9.1,37,Counter-diffusion,0
P00248,721,83.81,5.68,-0.781,Alpha,HEPES,Ethanol,35.54,5.9,25,Dialysis,0
P00249,657,108.19,7.26,-0.869,Alpha,Phosphate,Ammonium sulfate,35.78,7.0,20,Microbatch,0
P00250,521,35.58,5.01,0.937,Alpha,Tris,Ethanol,15.04,8.2,25,Microbatch,0
P00251,282,102.52,8.47,-0.326,Mixed,Tris,PEG 3350,16.55,4.7,20,Hanging-drop,1
